,Product Name,Product Price,Rating,Number of Reviews,Product URL,Product Description,Manufacturer
119,"Nivia 5227 Pulse Junior Bag, Others (Orange) (Aqua/Green)",294,3.7 out of 5 stars,251,/Nivia-Pulse-Junior-Bag-Aqua-Green/dp/B08D7QNYZX,,
120,,294,,M.R.P:,/gp/goldbox/,,
121,Tommy Hilfiger Joshua Laptop Backpack,"2,049",4.1 out of 5 stars,578,/Hilfiger-Joshua-Backpack-TH-JOSHUALAP08/dp/B07N8HR66T,,
122,,,,,/Hilfiger-Joshua-Backpack-TH-JOSHUALAP08/dp/B07N8HR66T,,
123,Tommy Hilfiger Joshua Laptop Backpack,"2,049",4.1 out of 5 stars,578,/Hilfiger-Joshua-Backpack-TH-JOSHUALAP08/dp/B07N8HR66T,,
124,,"2,049",,M.R.P:,/Hilfiger-Joshua-Backpack-TH-JOSHUALAP08/dp/B07N8HR66T,,
125,"Storite Nylon 46 Cm Multi Purpose Travel Duffle Bag for Women with Dry and Wet Separate Pocket, Lightweight Waterproof Backpack Carry Luggage Bag with Shoe Compartment (GreenPink, 46x23x25 cm)","1,399",4.2 out of 5 stars,379,/Storite-Travel-Bag-Lightweight-GreenPink/dp/B0B3JBYZ8C,,
126,,,,,/Storite-Travel-Bag-Lightweight-GreenPink/dp/B0B3JBYZ8C,,
127,"Storite Nylon 46 Cm Multi Purpose Travel Duffle Bag for Women with Dry and Wet Separate Pocket, Lightweight Waterproof Backpack Carry Luggage Bag with Shoe Compartment (GreenPink, 46x23x25 cm)","1,399",4.2 out of 5 stars,379,/Storite-Travel-Bag-Lightweight-GreenPink/dp/B0B3JBYZ8C,,
128,,"1,399",,M.R.P:,/gp/goldbox/,,
129,Lenovo 15.6-inch Casual Laptop Briefcase T210,799,4.3 out of 5 stars,"4,386",/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17230/dp/B075Y8294N,,
130,,,,,/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17230/dp/B075Y8294N,"Amazon.in: Buy Lenovo Casual Laptop Briefcase T210 (Toploader) 15.6-inch(39.6cm) Water Repellent Blue online at low price in India on Amazon.in. Check out Lenovo Casual Laptop Briefcase T210 (Toploader) 15.6-inch(39.6cm) Water Repellent Blue reviews, ratings, features, specifications and more at Amazon.in",Brand: Lenovo
131,Lenovo 15.6-inch Casual Laptop Briefcase T210,799,4.3 out of 5 stars,"4,386",/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17230/dp/B075Y8294N,"Amazon.in: Buy Lenovo Casual Laptop Briefcase T210 (Toploader) 15.6-inch(39.6cm) Water Repellent Blue online at low price in India on Amazon.in. Check out Lenovo Casual Laptop Briefcase T210 (Toploader) 15.6-inch(39.6cm) Water Repellent Blue reviews, ratings, features, specifications and more at Amazon.in",Brand: Lenovo
132,,799,,,/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17230/dp/B075Y8294N,,
133,ADISA 32L large laptop backpack office bag college travel back pack with rain cover,599,3.9 out of 5 stars,322,/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53,,
134,,,,,/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53,,
135,ADISA 32L large laptop backpack office bag college travel back pack with rain cover,599,3.9 out of 5 stars,322,/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53,,
136,,599,,,/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53,,
137,,,,bags for girls,/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=DPFGj&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=FWE7BSKD84CFRAQC72VE&pd_rd_wg=FiKSi&pd_rd_r=b7e4b23a-f1f7-41ee-ba5e-6a73fd173e69&qid=1692725198,,
138,,,,bags for girls,/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=DPFGj&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=FWE7BSKD84CFRAQC72VE&pd_rd_wg=FiKSi&pd_rd_r=b7e4b23a-f1f7-41ee-ba5e-6a73fd173e69&qid=1692725198,,
139,,,,bags for girls,/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=DPFGj&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=FWE7BSKD84CFRAQC72VE&pd_rd_wg=FiKSi&pd_rd_r=b7e4b23a-f1f7-41ee-ba5e-6a73fd173e69&qid=1692725198,,
140,,,,bags for travelling,/s/?k=bags+for+travelling&ref=sugsr_1&pd_rd_w=DPFGj&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=FWE7BSKD84CFRAQC72VE&pd_rd_wg=FiKSi&pd_rd_r=b7e4b23a-f1f7-41ee-ba5e-6a73fd173e69&qid=1692725198,,
141,,,,school bags,/s/?k=school+bags&ref=sugsr_2&pd_rd_w=DPFGj&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=FWE7BSKD84CFRAQC72VE&pd_rd_wg=FiKSi&pd_rd_r=b7e4b23a-f1f7-41ee-ba5e-6a73fd173e69&qid=1692725198,,
142,,,,or,/gp/help/customer/display.html?nodeId=201889520,,
143,,,4 Stars & Up,Popular Shopping Ideas,#s-skipLinkTargetForMainSearchResults,,
